Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
646.8289,-0.1416016,0.6201172,-0.03808594,-1.34375,-0.5,0.59375,-0.02636719,0.8310547,-0.1230469,-0.3125,-0.625,-0.75,187.8632,181.2394
646.8608,-0.1416016,0.6201172,-0.03808594,-1.34375,-0.5,0.59375,-0.02636719,0.8310547,-0.1230469,-0.3125,-0.625,-0.75,187.6514,181.4403
646.8948,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.046875,0.6777344,-0.09277344,-0.25,-0.4375,-0.5,187.6514,181.4403
646.9279,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.046875,0.6777344,-0.09277344,-0.25,-0.4375,-0.5,187.6514,181.4403
646.9609,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.1357422,0.8662109,-0.1640625,0.40625,-0.125,-0.0625,187.1618,181.5019
646.9959,0.05761719,0.7373047,-0.0234375,-0.9375,0.09375,-0.9375,-0.1357422,0.8662109,-0.1640625,0.40625,-0.125,-0.0625,187.1618,181.5019
647.0281,-0.08203125,0.6367188,-0.00390625,-0.5625,-1,0.15625,-0.03613281,0.6708984,-0.09179688,-0.125,-0.1875,-0.4375,187.1618,180.4997
647.0614,-0.08203125,0.6367188,-0.00390625,-0.5625,-1,0.15625,-0.03613281,0.6708984,-0.09179688,-0.125,-0.1875,-0.4375,187.1618,180.4997
647.0954,-0.08203125,0.6367188,-0.00390625,-0.5625,-1,0.15625,-0.03613281,0.6708984,-0.09179688,-0.125,-0.1875,-0.4375,187.4697,180.7616
647.1304,-0.0625,0.6533203,-0.01953125,0.59375,-2.09375,0.09375,0.1416016,0.7226563,-0.1865234,0.15625,-1.125,0.09375,187.4697,180.7616
647.1616,-0.0625,0.6533203,-0.01953125,0.59375,-2.09375,0.09375,0.1416016,0.7226563,-0.1865234,0.15625,-1.125,0.09375,187.3542,180.7616
647.196,-0.125,0.8037109,-0.0625,0.65625,-0.375,-0.25,0.02734375,0.7685547,-0.04296875,-0.375,-1.0625,0.09375,187.3542,180.5214
647.2314,-0.125,0.8037109,-0.0625,0.65625,-0.375,-0.25,0.02734375,0.7685547,-0.04296875,-0.375,-1.0625,0.09375,187.3542,180.5214
647.261,-0.125,0.8037109,-0.0625,0.65625,-0.375,-0.25,0.02734375,0.7685547,-0.04296875,-0.375,-1.0625,0.09375,187.3542,180.5214
647.2958,0.06445313,0.75,0,1.5625,0,0.03125,-0.109375,0.7626953,-0.1054688,-0.0625,-0.0625,0.28125,187.3136,180.7428
647.3314,0.06445313,0.75,0,1.5625,0,0.03125,0.01757813,0.6894531,-0.1347656,-0.25,0.46875,0.03125,187.3136,180.827
647.361,0.06445313,0.75,0,1.5625,0,0.03125,0.01757813,0.6894531,-0.1347656,-0.25,0.46875,0.03125,187.3136,180.827
647.3967,-0.0859375,0.5947266,-0.04882813,-0.5625,0.53125,-0.125,0.02734375,0.859375,-0.1132813,-0.1875,1.15625,-0.5,187.0679,180.6454
647.4301,-0.0859375,0.5947266,-0.04882813,-0.5625,0.53125,-0.125,0.02734375,0.859375,-0.1132813,-0.1875,1.15625,-0.5,187.0679,180.6454
647.4612,-0.0859375,0.5947266,-0.04882813,-0.5625,0.53125,-0.125,0.04980469,0.7236328,-0.1230469,0.28125,0.21875,0.40625,187.0679,180.6454
647.4973,0.04199219,0.6806641,-0.00390625,1.03125,0.71875,-0.375,0.04980469,0.7236328,-0.1230469,0.28125,0.21875,0.40625,186.9265,180.7216
647.5328,0.04199219,0.6806641,-0.00390625,1.03125,0.71875,-0.375,0.04980469,0.7236328,-0.1230469,0.28125,0.21875,0.40625,186.9265,180.7216
647.5613,0.04199219,0.6806641,-0.00390625,1.03125,0.71875,-0.375,0.1025391,0.7080078,-0.1572266,-1.3125,0.03125,0,186.9265,180.7216
647.6299,-0.06738281,0.7041016,0.03320313,0.71875,-0.875,0.03125,0.1025391,0.7080078,-0.1572266,-1.3125,0.03125,0,187.4695,180.2918
647.6465,-0.06738281,0.7041016,0.03320313,0.71875,-0.875,0.03125,-0.04394531,0.6816406,-0.08007813,0.53125,-1,0.53125,187.4695,180.2918
647.6475,-0.06738281,0.7041016,0.03320313,0.71875,-0.875,0.03125,-0.04394531,0.6816406,-0.08007813,0.53125,-1,0.53125,187.4695,180.2918
647.6811,-0.01953125,0.7158203,-0.04882813,-1.71875,1.03125,0.46875,-0.04394531,0.6816406,-0.08007813,0.53125,-1,0.53125,187.4562,180.9434
647.7148,-0.01953125,0.7158203,-0.04882813,-1.71875,1.03125,0.46875,-0.06542969,0.8388672,-0.1660156,-1.0625,-0.75,0.34375,187.4562,180.9434
647.7471,-0.01953125,0.7158203,-0.04882813,-1.71875,1.03125,0.46875,-0.06542969,0.8388672,-0.1660156,-1.0625,-0.75,0.34375,187.4562,180.9434
647.7828,0.08691406,0.6152344,-0.1259766,0.03125,-0.5625,0.09375,-0.06054688,0.7207031,-0.109375,0.28125,0.03125,-1,187.3575,180.2773
647.8152,0.08691406,0.6152344,-0.1259766,0.03125,-0.5625,0.09375,-0.06054688,0.7207031,-0.109375,0.28125,0.03125,-1,187.3575,180.2773
647.8463,0.08691406,0.6152344,-0.1259766,0.03125,-0.5625,0.09375,-0.06054688,0.7207031,-0.109375,0.28125,0.03125,-1,187.3575,180.2773
647.8832,-0.109375,0.7675781,-0.1396484,0.59375,-0.5,0.15625,0.08105469,0.6328125,-0.140625,0,0.15625,-0.75,187.9894,181.0605
647.9154,-0.109375,0.7675781,-0.1396484,0.59375,-0.5,0.15625,0.08105469,0.6328125,-0.140625,0,0.15625,-0.75,187.8855,181.0605
647.9468,-0.109375,0.7675781,-0.1396484,0.59375,-0.5,0.15625,0.06738281,0.7021484,-0.07421875,0,-0.1875,-0.5,187.8855,181.0605
