Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
357.5563,0.1523438,0.9824219,0.03515625,-1.71875,-6.4375,-0.8125,-0.01855469,0.8027344,-0.1865234,1.3125,-3.8125,-2.15625,182.3233,185.5045
357.5902,0.1523438,0.9824219,0.03515625,-1.71875,-6.4375,-0.8125,-0.01855469,0.8027344,-0.1865234,1.3125,-3.8125,-2.15625,181.855,184.8698
357.621,0.1523438,0.9824219,0.03515625,-1.71875,-6.4375,-0.8125,-0.03515625,0.6826172,-0.265625,1.375,-1.25,-2.9375,181.855,184.8698
357.658,0.2099609,1.010742,0.05957031,-4.34375,-4.09375,-2.75,-0.03515625,0.6826172,-0.265625,1.375,-1.25,-2.9375,181.855,184.2554
357.6906,0.1455078,1.022461,-0.05664063,-6.375,3.15625,0,-0.078125,0.7353516,-0.2089844,0.78125,-1.40625,-4.21875,181.8899,184.2554
357.7213,0.1455078,1.022461,-0.05664063,-6.375,3.15625,0,-0.078125,0.7353516,-0.2089844,0.78125,-1.40625,-4.21875,181.8899,184.2554
357.757,0.1455078,1.022461,-0.05664063,-6.375,3.15625,0,-0.078125,0.7353516,-0.2089844,0.78125,-1.40625,-4.21875,181.7254,184.5246
357.791,0.08886719,0.9882813,-0.06835938,-11.78125,2.96875,-1.40625,-0.1699219,0.8466797,-0.2519531,3.90625,-1.25,-2.8125,181.7254,184.5246
357.8222,0.08886719,0.9882813,-0.06835938,-11.78125,2.96875,-1.40625,-0.1699219,0.8466797,-0.2519531,3.90625,-1.25,-2.8125,181.7254,184.5246
357.8573,0.08886719,0.9882813,-0.06835938,-11.78125,2.96875,-1.40625,-0.06542969,0.7978516,-0.2333984,7.25,-2.6875,-3,181.7254,183.1763
357.8909,0.08886719,0.9882813,-0.06835938,-11.78125,2.96875,-1.40625,-0.04296875,0.9697266,-0.02539063,-11,3.59375,0.71875,180.8482,183.1763
357.9221,0.1992188,1.057617,-0.05175781,-3.625,3.46875,-2.03125,-0.04296875,0.9697266,-0.02539063,-11,3.59375,0.71875,180.8482,183.1763
357.9583,0.1396484,1.086914,0.2021484,-8.75,21.15625,-2.53125,0.07617188,1.022461,0.05273438,-27.65625,24.65625,1.3125,180.1005,185.015
357.9913,0.1396484,1.086914,0.2021484,-8.75,21.15625,-2.53125,0.07617188,1.022461,0.05273438,-27.65625,24.65625,1.3125,180.1005,185.015
358.0249,0.1396484,1.086914,0.2021484,-8.75,21.15625,-2.53125,0.07617188,1.022461,0.05273438,-27.65625,24.65625,1.3125,180.1005,185.015
358.0564,0.1318359,0.9238281,0.05371094,-28.46875,14.9375,-1.53125,0.07617188,1.022461,0.05273438,-27.65625,24.65625,1.3125,177.75,188.5228
358.0917,0.1318359,0.9238281,0.05371094,-28.46875,14.9375,-1.53125,-0.08691406,0.8154297,-0.06738281,-37.96875,-7.46875,18.21875,177.75,190.9832
358.1262,0.2246094,1.014648,0.2314453,-35.65625,16.21875,-3.5,-0.09765625,0.9082031,-0.046875,-44.03125,-3.4375,17.8125,177.75,190.9832
358.1572,0.2246094,1.014648,0.2314453,-35.65625,16.21875,-3.5,-0.09765625,0.9082031,-0.046875,-44.03125,-3.4375,17.8125,174.622,190.9832
358.1941,0.2246094,1.014648,0.2314453,-35.65625,16.21875,-3.5,-0.1689453,0.953125,-0.125,-41.09375,2.0625,15,171.0622,192.1388
358.2235,0.2089844,0.9892578,0.2148438,-39.4375,11.21875,-5.75,-0.1689453,0.953125,-0.125,-41.09375,2.0625,15,171.0622,192.1388
358.2588,0.2089844,0.9892578,0.2148438,-39.4375,11.21875,-5.75,-0.04882813,0.7919922,-0.1123047,-39.8125,-1.0625,14.6875,171.0622,190.7819
358.2933,0.1552734,1.055664,0.2011719,-35.53125,16.09375,-9.15625,-0.04882813,0.7919922,-0.1123047,-39.8125,-1.0625,14.6875,168.1708,190.7819
358.3241,0.1552734,1.055664,0.2011719,-35.53125,16.09375,-9.15625,-0.04882813,0.7919922,-0.1123047,-39.8125,-1.0625,14.6875,168.1708,190.7819
358.3574,0.1552734,1.055664,0.2011719,-35.53125,16.09375,-9.15625,-0.07324219,0.9365234,-0.04589844,-30.53125,6.75,10.65625,168.1708,190.7338
358.3951,0.1416016,1.040039,0.21875,-33.875,15.4375,-4.59375,-0.07324219,0.9365234,-0.04589844,-30.53125,6.75,10.65625,165.552,189.0749
358.4254,0.1416016,1.040039,0.21875,-33.875,15.4375,-4.59375,0.05957031,0.8144531,-0.01464844,-22.21875,16.21875,5.90625,165.552,189.0749
358.4577,0.1416016,1.040039,0.21875,-33.875,15.4375,-4.59375,0.05957031,0.8144531,-0.01464844,-22.21875,16.21875,5.90625,165.552,189.9381
358.4931,0.15625,0.9824219,0.2373047,-29.25,18.46875,-5.4375,-0.0625,0.9550781,0.04589844,-26.4375,5.40625,12.625,163.5638,189.9381
358.5249,0.15625,0.9824219,0.2373047,-29.25,18.46875,-5.4375,-0.0625,0.9550781,0.04589844,-26.4375,5.40625,12.625,163.5638,189.9381
358.558,-0.07714844,0.9755859,0.3457031,-28.8125,6.625,-2.28125,-0.0625,0.9550781,0.04589844,-26.4375,5.40625,12.625,161.4337,189.9381
358.594,-0.07714844,0.9755859,0.3457031,-28.8125,6.625,-2.28125,-0.0625,0.9550781,0.04589844,-26.4375,5.40625,12.625,159.5033,189.9381
