Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
408.2759,0.1445313,1.047852,-0.06738281,-1.25,-0.5,-0.5625,-0.1083984,0.8369141,-0.3798828,-0.625,-2.625,-0.75,189.6373,186.3307
408.3097,0.1445313,1.047852,-0.06738281,-1.25,-0.5,-0.5625,-0.1083984,0.8369141,-0.3798828,-0.625,-2.625,-0.75,189.6373,186.3307
408.343,0.1445313,1.047852,-0.06738281,-1.25,-0.5,-0.5625,-0.1083984,0.8369141,-0.3798828,-0.625,-2.625,-0.75,189.6205,186.3307
408.3762,0.2216797,0.9355469,-0.07617188,-1.90625,-0.0625,-1.59375,-0.1074219,0.7001953,-0.3564453,-1.0625,-0.75,-1.46875,189.6205,185.9726
408.4097,0.2216797,0.9355469,-0.07617188,-1.90625,-0.0625,-1.59375,-0.03125,0.7294922,-0.3837891,-0.375,-1.78125,-0.625,189.6205,185.7699
408.4429,0.1513672,1.033203,-0.05664063,-0.3125,-1.3125,-1.25,-0.03125,0.7294922,-0.3837891,-0.375,-1.78125,-0.625,189.3683,185.7699
408.4768,0.2236328,0.9580078,-0.07617188,-2.21875,-0.9375,-1,-0.03125,0.7294922,-0.3837891,-0.375,-1.78125,-0.625,189.3683,185.3969
408.5103,0.2236328,0.9580078,-0.07617188,-2.21875,-0.9375,-1,-0.06054688,0.7978516,-0.3037109,1.03125,-0.1875,-1.125,189.2063,185.3969
408.5138,0.2236328,0.9580078,-0.07617188,-2.21875,-0.9375,-1,-0.06054688,0.7978516,-0.3037109,1.03125,-0.1875,-1.125,189.2063,185.3969
408.5453,0.2236328,0.9580078,-0.07617188,-2.21875,-0.9375,-1,-0.06054688,0.7978516,-0.3037109,1.03125,-0.1875,-1.125,189.4175,185.3969
408.5787,0.1113281,1.003906,-0.1142578,-0.6875,-2.28125,0.09375,-0.06054688,0.7978516,-0.3037109,1.03125,-0.1875,-1.125,189.4175,185.461
408.612,0.1113281,1.003906,-0.1142578,-0.6875,-2.28125,0.09375,-0.1767578,0.6943359,-0.4443359,1.09375,-0.0625,-0.6875,189.5801,185.461
408.6458,0.08789063,0.9228516,-0.09472656,-1.34375,-3,0.21875,-0.02636719,0.7519531,-0.4648438,0.71875,-1.1875,-0.3125,189.5801,185.1922
408.6802,0.08789063,0.9228516,-0.09472656,-1.34375,-3,0.21875,-0.02636719,0.7519531,-0.4648438,0.71875,-1.1875,-0.3125,189.1358,185.3619
408.7115,0.08789063,0.9228516,-0.09472656,-1.34375,-3,0.21875,-0.08886719,0.7353516,-0.4023438,0.15625,-1,-0.8125,189.1358,185.3619
408.7462,0.1679688,0.9667969,-0.1445313,-0.5625,0.90625,0.21875,-0.08886719,0.7353516,-0.4023438,0.15625,-1,-0.8125,189.1358,185.5751
408.7791,0.1738281,0.984375,-0.046875,-0.125,-4.65625,-0.625,-0.08886719,0.7353516,-0.4023438,0.15625,-1,-0.8125,188.739,185.5751
408.8128,0.1738281,0.984375,-0.046875,-0.125,-4.65625,-0.625,-0.04296875,0.7939453,-0.3212891,-0.6875,-2.15625,-0.5,188.7508,185.4365
408.8465,0.1738281,0.984375,-0.046875,-0.125,-4.65625,-0.625,-0.04296875,0.7939453,-0.3212891,-0.6875,-2.15625,-0.5,188.7508,185.4365
408.8815,0.1708984,1.004883,-0.02734375,-2.53125,-2.46875,-1.59375,-0.015625,0.7695313,-0.4150391,0.71875,-4.21875,-0.8125,188.7508,185.4365
408.9145,0.1181641,1.022461,0.01464844,-2.625,-1.40625,0,-0.1728516,0.8046875,-0.2900391,0.21875,-1.96875,-2.46875,189.0144,185.0721
408.9482,0.1181641,1.022461,0.01464844,-2.625,-1.40625,0,-0.1728516,0.8046875,-0.2900391,0.21875,-1.96875,-2.46875,189.0144,184.8011
408.9889,0.1181641,1.022461,0.01464844,-2.625,-1.40625,0,-0.04101563,0.921875,-0.3837891,1.75,-3.375,-1.0625,188.6872,184.8011
409.0133,0.1503906,0.9853516,-0.07714844,-5.15625,-3.0625,-1.53125,-0.04101563,0.921875,-0.3837891,1.75,-3.375,-1.0625,188.6872,184.8011
409.0474,0.1503906,0.9853516,-0.07714844,-5.15625,-3.0625,-1.53125,-0.04101563,0.921875,-0.3837891,1.75,-3.375,-1.0625,188.6872,184.2003
409.0808,0.1318359,1.020508,-0.03222656,-5.15625,0.90625,-1.84375,-0.04101563,0.921875,-0.3837891,1.75,-3.375,-1.0625,187.9229,184.2003
409.1141,0.1318359,1.020508,-0.03222656,-5.15625,0.90625,-1.84375,-0.04101563,0.921875,-0.3837891,1.75,-3.375,-1.0625,187.0033,184.2003
409.1476,0.1425781,0.9892578,0.0009765625,-7.65625,2.125,-3.3125,-0.07617188,0.7734375,-0.3427734,3.46875,-1.71875,-3.5625,187.0033,184.2003
409.1816,0.1425781,0.9892578,0.0009765625,-7.65625,2.125,-3.3125,-0.1220703,0.8066406,-0.3115234,4.125,-3.375,-2.875,187.0033,182.6049
409.2151,0.1601563,0.9541016,0.06542969,-12.71875,-1.53125,-1.53125,-0.1220703,0.8066406,-0.3115234,4.125,-3.375,-2.875,185.9782,182.6049
409.2487,0.1601563,0.9541016,0.06542969,-12.71875,-1.53125,-1.53125,-0.04980469,0.7421875,-0.4248047,5.46875,-5.03125,-2.46875,185.9782,181.2016
409.2833,0.1601563,0.9541016,0.06542969,-12.71875,-1.53125,-1.53125,-0.04980469,0.7421875,-0.4248047,5.46875,-5.03125,-2.46875,184.9942,179.1426
409.3151,0.1542969,0.9609375,0.1044922,-3.90625,2.375,-2.9375,-0.04980469,0.7421875,-0.4248047,5.46875,-5.03125,-2.46875,184.9942,179.1426
409.3497,0.08300781,0.9287109,-0.05371094,-3.375,0.65625,-3,-0.001953125,0.7539063,-0.4560547,4.375,-3.90625,-2.09375,185.0393,179.1426
409.382,0.08300781,0.9287109,-0.05371094,-3.375,0.65625,-3,-0.001953125,0.7539063,-0.4560547,4.375,-3.90625,-2.09375,185.0393,177.6996
409.4155,0.09375,0.9658203,0.01757813,-10.4375,-4.65625,-1.90625,-0.08789063,0.734375,-0.5302734,19.75,-12.15625,-4.21875,185.2032,177.6996
