Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
326.0205,0.1269531,1.001953,0.04785156,1.6875,-1.71875,0.53125,-0.06835938,0.8242188,-0.2998047,-1.0625,-0.5625,0.28125,195.9442,182.3699
326.0441,0.2119141,0.9912109,-0.07714844,-0.25,3.15625,0.09375,-0.2265625,0.7558594,-0.3291016,-3.75,0,-0.4375,195.9442,182.3699
326.0451,0.2119141,0.9912109,-0.07714844,-0.25,3.15625,0.09375,-0.2265625,0.7558594,-0.3291016,-3.75,0,-0.4375,195.9442,182.3699
326.048,0.2119141,0.9912109,-0.07714844,-0.25,3.15625,0.09375,-0.2265625,0.7558594,-0.3291016,-3.75,0,-0.4375,195.7337,182.4392
326.0689,0.171875,0.9716797,0.02148438,-0.125,3.9375,-0.3125,-0.2265625,0.7558594,-0.3291016,-3.75,0,-0.4375,195.7337,182.9828
326.1013,0.171875,0.9716797,0.02148438,-0.125,3.9375,-0.3125,-0.2265625,0.7558594,-0.3291016,-3.75,0,-0.4375,195.7337,182.9828
326.1368,0.171875,0.9716797,0.02148438,-0.125,3.9375,-0.3125,-0.2060547,0.796875,-0.3535156,-2.53125,-0.1875,0.46875,195.4653,182.9828
326.1697,0.1835938,0.9638672,0.1962891,-0.125,1.28125,0.21875,-0.2060547,0.796875,-0.3535156,-2.53125,-0.1875,0.46875,195.4653,182.9828
326.2012,0.1835938,0.9638672,0.1962891,-0.125,1.28125,0.21875,-0.2207031,0.7148438,-0.2988281,-4.53125,2.4375,0.40625,195.4653,182.9828
326.2367,0.1835938,0.9638672,0.1962891,-0.125,1.28125,0.21875,-0.2207031,0.7148438,-0.2988281,-4.53125,2.4375,0.40625,194.6267,182.9149
326.2701,0.09667969,0.9833984,0.09179688,0.96875,1.5625,-0.375,-0.2207031,0.7148438,-0.2988281,-4.53125,2.4375,0.40625,194.6267,182.9149
326.3014,0.09667969,0.9833984,0.09179688,0.96875,1.5625,-0.375,-0.1162109,0.7714844,-0.3476563,-1.125,-0.3125,-0.6875,194.6267,182.9149
326.3369,0.1552734,1.03418,0.02050781,-1.65625,1.4375,-1.53125,-0.1162109,0.7714844,-0.3476563,-1.125,-0.3125,-0.6875,194.3442,182.9504
326.3706,0.1552734,1.03418,0.02050781,-1.65625,1.4375,-1.53125,-0.1162109,0.7714844,-0.3476563,-1.125,-0.3125,-0.6875,194.3442,182.9504
326.4019,0.1552734,1.03418,0.02050781,-1.65625,1.4375,-1.53125,-0.1162109,0.7714844,-0.3476563,-1.125,-0.3125,-0.6875,194.3442,182.9504
326.4373,0.2128906,0.9628906,0.01074219,0.59375,-1.59375,-0.8125,-0.1162109,0.7714844,-0.3476563,-1.125,-0.3125,-0.6875,193.5567,182.9504
326.4709,0.2128906,0.9628906,0.01074219,0.59375,-1.59375,-0.8125,-0.1289063,0.7509766,-0.2216797,-1.90625,-3.4375,-0.6875,193.5567,183.1818
326.5022,0.1367188,0.9423828,0.1455078,0,-5.21875,-2.625,-0.1728516,0.7480469,-0.2490234,-1.1875,-0.6875,-2.34375,193.5567,183.1818
326.5357,0.1367188,0.9423828,0.1455078,0,-5.21875,-2.625,-0.1728516,0.7480469,-0.2490234,-1.1875,-0.6875,-2.34375,193.7777,183.1818
