Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
483.77,-0.04980469,0.9375,0.1035156,1.3125,1.3125,-0.25,-0.2001953,0.6982422,-0.1875,-1,-0.125,-1.34375,181.4922,182.2866
483.7995,-0.04980469,0.9375,0.1035156,1.3125,1.3125,-0.25,-0.06347656,0.8642578,-0.2080078,-2.46875,-3.625,-0.875,181.7996,182.2866
483.8323,-0.04980469,0.9375,0.1035156,1.3125,1.3125,-0.25,-0.06347656,0.8642578,-0.2080078,-2.46875,-3.625,-0.875,181.7996,182.361
483.8661,0.00390625,0.9091797,-0.1699219,1.4375,-4.15625,-1.3125,0.002929688,0.8144531,-0.2324219,-1.90625,-2.09375,-0.125,181.7996,182.361
483.8995,-0.05566406,1.036133,-0.05273438,2.65625,-3.125,-0.9375,0.002929688,0.8144531,-0.2324219,-1.90625,-2.09375,-0.125,182.0428,182.9231
483.933,-0.05566406,1.036133,-0.05273438,2.65625,-3.125,-0.9375,-0.09570313,0.7636719,-0.2294922,-1.78125,-4.84375,-0.9375,182.1977,182.9231
483.9664,-0.04785156,0.9257813,-0.04101563,-0.8125,-3.875,-1.34375,-0.09570313,0.7636719,-0.2294922,-1.78125,-4.84375,-0.9375,182.1977,182.9231
483.9998,-0.04785156,0.9257813,-0.04101563,-0.8125,-3.875,-1.34375,-0.09570313,0.7636719,-0.2294922,-1.78125,-4.84375,-0.9375,182.6097,183.2168
484.033,-0.04785156,0.9257813,-0.04101563,-0.8125,-3.875,-1.34375,-0.09570313,0.7636719,-0.2294922,-1.78125,-4.84375,-0.9375,182.6097,183.2168
484.0667,-0.1386719,0.9150391,-0.07421875,0.71875,-0.5625,-3,-0.07324219,0.8095703,-0.2607422,-1.0625,-1.65625,-1.1875,182.6097,183.2168
