Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
446.3569,0.4277344,0.9824219,0,-10.5,0.84375,-1.125,0.01074219,0.8378906,-0.2753906,3.9375,-3,-1.96875,181.8396,181.4437
446.3884,0.4277344,0.9824219,0,-10.5,0.84375,-1.125,0.002929688,0.7685547,-0.2070313,-1.84375,-4.59375,-1.46875,181.8396,181.1234
446.4224,0.2714844,1.09375,-0.02148438,-4.09375,2.5,-3.4375,0.002929688,0.7685547,-0.2070313,-1.84375,-4.59375,-1.46875,181.2883,180.4978
446.4553,0.2714844,1.09375,-0.02148438,-4.09375,2.5,-3.4375,-0.046875,0.8378906,-0.3476563,6.21875,-5.375,-2.8125,181.2883,180.4978
446.4881,0.3652344,0.9648438,-0.0625,-7.21875,-2.6875,-3.1875,-0.046875,0.8378906,-0.3476563,6.21875,-5.375,-2.8125,180.0816,180.4978
446.5215,0.3652344,0.9648438,-0.0625,-7.21875,-2.6875,-3.1875,-0.046875,0.8378906,-0.3476563,6.21875,-5.375,-2.8125,180.0816,180.4978
446.5553,0.3417969,0.9736328,-0.02050781,-4.34375,17.125,-5.5,-0.1806641,0.7685547,-0.3837891,-2.40625,0.15625,-2.75,180.0816,180.4978
446.5887,0.3417969,0.9736328,-0.02050781,-4.34375,17.125,-5.5,-0.1806641,0.7685547,-0.3837891,-2.40625,0.15625,-2.75,179.3629,178.9079
446.6225,0.3417969,0.9736328,-0.02050781,-4.34375,17.125,-5.5,-0.07519531,0.8017578,-0.3691406,2.1875,-3,-2.75,179.3629,178.9079
446.6556,0.2558594,1.035156,0.07910156,-20.84375,10.125,-3.375,-0.03613281,0.9394531,-0.21875,10.25,-11.6875,0.65625,177.7206,177.4085
446.6893,0.2558594,1.035156,0.07910156,-20.84375,10.125,-3.375,-0.03613281,0.9394531,-0.21875,10.25,-11.6875,0.65625,177.7206,175.6658
446.7222,0.2558594,1.035156,0.07910156,-20.84375,10.125,-3.375,0.09472656,0.9052734,-0.0390625,-11.25,-2.6875,5.34375,177.7206,176.2683
446.7576,0.2138672,0.9697266,0.1259766,-34.1875,12.3125,-3.5,0.09472656,0.9052734,-0.0390625,-11.25,-2.6875,5.34375,175.6579,176.2683
446.7893,0.2138672,0.9697266,0.1259766,-34.1875,12.3125,-3.5,-0.01367188,0.8925781,-0.2431641,-14.34375,9.3125,4.1875,175.6579,176.7495
446.8232,0.3144531,1.048828,0.09765625,-30.03125,10.125,-3.0625,-0.01367188,0.8925781,-0.2431641,-14.34375,9.3125,4.1875,172.6014,176.7495
446.8574,0.3144531,1.048828,0.09765625,-30.03125,10.125,-3.0625,-0.01367188,0.8925781,-0.2431641,-14.34375,9.3125,4.1875,172.6014,176.7495
446.8919,0.3144531,1.048828,0.09765625,-30.03125,10.125,-3.0625,0.1611328,0.8125,-0.2587891,-18.4375,8.21875,3.59375,170.1281,175.9367
446.9237,0.2802734,0.9716797,0.1455078,-41.8125,2.59375,-2.75,0.03808594,0.8369141,-0.2285156,-22.65625,4.875,7.5,170.1281,175.9367
446.9568,0.2802734,0.9716797,0.1455078,-41.8125,2.59375,-2.75,0.03808594,0.8369141,-0.2285156,-22.65625,4.875,7.5,170.1281,174.6973
446.9609,0.2802734,0.9716797,0.1455078,-41.8125,2.59375,-2.75,0.03808594,0.8369141,-0.2285156,-22.65625,4.875,7.5,166.6308,174.6973
446.9941,0.3271484,1.142578,0.3291016,-47.0625,-15.21875,7.125,0.03808594,0.8369141,-0.2285156,-22.65625,4.875,7.5,166.6308,172.9543
447.0263,0.3271484,1.142578,0.3291016,-47.0625,-15.21875,7.125,0.03808594,0.8369141,-0.2285156,-22.65625,4.875,7.5,166.6308,172.9543
447.0595,0.3886719,0.9658203,0.4287109,-47.625,3.71875,-0.375,-0.09765625,0.8964844,-0.2988281,-3.875,-4.34375,11.40625,161.2631,167.1467
447.0931,0.3886719,0.9658203,0.4287109,-47.625,3.71875,-0.375,-0.09765625,0.8964844,-0.2988281,-3.875,-4.34375,11.40625,161.2631,167.1467
447.1285,0.3886719,0.9658203,0.4287109,-47.625,3.71875,-0.375,-0.1240234,0.8144531,-0.3798828,-0.75,4.875,-0.75,157.4159,166.3653
447.1736,0.1894531,0.8193359,0.328125,-46.65625,25.3125,-3.96875,-0.07519531,0.8222656,-0.3291016,3.53125,4.9375,1.75,157.4159,166.3653
447.1927,0.1894531,0.8193359,0.328125,-46.65625,25.3125,-3.96875,-0.07519531,0.8222656,-0.3291016,3.53125,4.9375,1.75,157.4159,160.9439
447.2266,0.1894531,0.8193359,0.328125,-46.65625,25.3125,-3.96875,0.01367188,0.6806641,-0.2880859,7.6875,4.5625,-2.09375,154.0921,160.9439
447.2618,0.2402344,0.9248047,0.3837891,-40.90625,28.0625,-0.625,0.01367188,0.6806641,-0.2880859,7.6875,4.5625,-2.09375,154.0921,155.5154
447.2938,0.2402344,0.9248047,0.3837891,-40.90625,28.0625,-0.625,-0.1484375,0.6787109,-0.3535156,21.84375,-4.84375,5.21875,150.4687,155.5154
447.328,0.2402344,0.9248047,0.3837891,-40.90625,28.0625,-0.625,-0.1484375,0.6787109,-0.3535156,21.84375,-4.84375,5.21875,150.4687,155.5154
447.3613,0.3085938,0.890625,0.4882813,-39.875,2.96875,-0.3125,-0.1484375,0.6787109,-0.3535156,21.84375,-4.84375,5.21875,146.9029,149.9861
447.3957,0.2617188,0.7314453,0.5214844,-30.40625,22.3125,1.3125,-0.03027344,0.6845703,-0.1953125,8.53125,5.78125,-5.4375,146.9029,145.8613
447.428,0.2617188,0.7314453,0.5214844,-30.40625,22.3125,1.3125,-0.03027344,0.6845703,-0.1953125,8.53125,5.78125,-5.4375,146.9029,145.8613
447.4617,0.2617188,0.7314453,0.5214844,-30.40625,22.3125,1.3125,-0.07714844,0.71875,-0.3164063,2.3125,14.4375,-10.75,144.9419,145.8613
447.4964,0.2041016,0.8876953,0.4599609,-9.96875,15.65625,1.625,-0.03613281,0.8330078,-0.3232422,3.46875,3.59375,-2.28125,144.9419,143.4563
447.5326,0.2041016,0.8876953,0.4599609,-9.96875,15.65625,1.625,-0.03613281,0.8330078,-0.3232422,3.46875,3.59375,-2.28125,144.9419,142.8336
447.5643,0.2041016,0.8876953,0.4599609,-9.96875,15.65625,1.625,-0.03613281,0.8330078,-0.3232422,3.46875,3.59375,-2.28125,143.7433,142.8336
447.5979,0.07226563,0.7646484,0.5566406,-14.46875,7.84375,0.03125,-0.2714844,0.6503906,-0.3808594,-2.625,-4.96875,8.90625,143.7433,142.8336
447.6301,0.07226563,0.7646484,0.5566406,-14.46875,7.84375,0.03125,-0.2714844,0.6503906,-0.3808594,-2.625,-4.96875,8.90625,142.7889,140.8459
447.6624,0.07226563,0.7646484,0.5566406,-14.46875,7.84375,0.03125,-0.02734375,0.6943359,-0.4160156,-2.03125,-4.21875,7.6875,142.7889,140.8459
447.6972,0.2353516,0.6787109,0.5332031,-8.6875,-11.0625,-0.625,-0.02734375,0.6943359,-0.4160156,-2.03125,-4.21875,7.6875,142.7889,139.0681
447.7299,0.2353516,0.6787109,0.5332031,-8.6875,-11.0625,-0.625,-0.02734375,0.6943359,-0.4160156,-2.03125,-4.21875,7.6875,142.462,139.0681
447.7651,0.3125,0.6865234,0.5537109,-0.125,-14.53125,-3,-0.05371094,0.5566406,-0.3330078,7.8125,-6.125,3.34375,142.462,137.5049
447.7984,0.3125,0.6865234,0.5537109,-0.125,-14.53125,-3,-0.1767578,0.7050781,-0.4511719,9.625,-6.65625,0.53125,142.5408,137.5049
447.8305,0.3046875,0.7949219,0.5361328,23.125,-22.71875,4.6875,-0.1767578,0.7050781,-0.4511719,9.625,-6.65625,0.53125,142.5408,135.4071
447.8634,0.3046875,0.7949219,0.5361328,23.125,-22.71875,4.6875,-0.09375,0.6953125,-0.4560547,11.28125,-6.1875,-3.625,142.5408,135.4071
447.8946,0.2685547,0.8417969,0.4277344,30.875,-24.1875,0.34375,-0.09375,0.6953125,-0.4560547,11.28125,-6.1875,-3.625,142.5408,135.4071
447.9314,0.2685547,0.8417969,0.4277344,30.875,-24.1875,0.34375,-0.09375,0.6953125,-0.4560547,11.28125,-6.1875,-3.625,145.1178,135.4044
447.9638,0.2685547,0.8417969,0.4277344,30.875,-24.1875,0.34375,-0.0078125,0.6894531,-0.4169922,11.15625,-8.125,-5.25,148.0438,135.4044
