Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
327.5729,0.1220703,0.8847656,-0.2929688,0.53125,0.65625,0.03125,0.09570313,0.8613281,-0.03222656,0.46875,-1.0625,0.28125,179.4733,180.1488
327.6062,0.08496094,0.8710938,-0.3085938,1.28125,2.125,0.53125,0.09570313,0.8613281,-0.03222656,0.46875,-1.0625,0.28125,179.4733,180.1488
327.6398,0.08496094,0.8710938,-0.3085938,1.28125,2.125,0.53125,0.09570313,0.8613281,-0.03222656,0.46875,-1.0625,0.28125,179.3376,180.1488
327.6734,0.08496094,0.8710938,-0.3085938,1.28125,2.125,0.53125,0.09570313,0.8613281,-0.03222656,0.46875,-1.0625,0.28125,179.3376,180.1488
327.7075,0.03222656,0.8164063,-0.3046875,-0.25,-1.34375,-0.0625,0.09570313,0.8613281,-0.03222656,0.46875,-1.0625,0.28125,178.7551,180.304
327.7402,0.03222656,0.8164063,-0.3046875,-0.25,-1.34375,-0.0625,0.09570313,0.8613281,-0.03222656,0.46875,-1.0625,0.28125,178.7551,180.304
327.7743,0.1884766,0.9238281,-0.2246094,0.28125,0.84375,0.21875,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.7551,180.304
327.8074,0.1884766,0.9238281,-0.2246094,0.28125,0.84375,0.21875,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.7483,180.304
327.8409,0.1542969,0.8818359,-0.2167969,0.28125,2.375,0.28125,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.8406,180.304
327.8739,0.1542969,0.8818359,-0.2167969,0.28125,2.375,0.28125,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.8406,180.304
327.9087,0.09667969,0.9248047,-0.3994141,-0.3125,3.84375,0.09375,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.8406,181.2618
327.9414,0.09667969,0.9248047,-0.3994141,-0.3125,3.84375,0.09375,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.9584,181.2618
327.9749,-0.004882813,0.78125,-0.2226563,-2.34375,5.125,0.03125,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,178.9584,181.2618
328.0081,-0.004882813,0.78125,-0.2226563,-2.34375,5.125,0.03125,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,179.1634,181.2618
328.0416,-0.004882813,0.78125,-0.2226563,-2.34375,5.125,0.03125,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,179.1634,181.2618
328.0749,0.08105469,0.8701172,-0.3027344,-5.75,-0.125,1.75,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,179.8344,181.2618
328.1094,0.1464844,1.074219,-0.2402344,-10.21875,-1.53125,-1.1875,0.06738281,1.017578,0.09667969,-1.3125,0.53125,1.09375,179.8344,181.168
328.1426,0.1464844,1.074219,-0.2402344,-10.21875,-1.53125,-1.1875,0.01757813,0.8730469,-0.01171875,-0.1875,0.78125,-0.5625,181.19,181.168
328.1764,0.1464844,1.074219,-0.2402344,-10.21875,-1.53125,-1.1875,0.01757813,0.8730469,-0.01171875,-0.1875,0.78125,-0.5625,181.19,181.168
328.2093,-0.03808594,0.7431641,-0.2900391,-19.59375,18.71875,-2.40625,0.01757813,0.8730469,-0.01171875,-0.1875,0.78125,-0.5625,179.8378,181.168
328.2426,-0.03808594,0.7431641,-0.2900391,-19.59375,18.71875,-2.40625,-0.01171875,0.9150391,-0.09667969,0.65625,-1.125,0.28125,179.8378,178.1917
328.2756,0.03710938,0.8730469,-0.28125,-13.875,-1.125,6.40625,-0.01171875,0.9150391,-0.09667969,0.65625,-1.125,0.28125,179.8378,178.1917
328.3096,0.03710938,0.8730469,-0.28125,-13.875,-1.125,6.40625,-0.01171875,0.9150391,-0.09667969,0.65625,-1.125,0.28125,179.8149,178.1917
