Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
251.0172,0.02636719,1.185547,-0.1552734,-57.375,-17.78125,-14.84375,-0.06152344,1.174805,0.3486328,-58.0625,6.625,-48.96875,161.018,186.0464
251.0513,0.08496094,1.073242,0.1289063,-84.1875,-20.875,-19.1875,-0.06152344,1.174805,0.3486328,-58.0625,6.625,-48.96875,161.018,186.0464
251.0869,0.08496094,1.073242,0.1289063,-84.1875,-20.875,-19.1875,0.07128906,1.226563,0.02441406,-71,-2.9375,-60.8125,156.8491,186.0464
251.1183,0.08496094,1.073242,0.1289063,-84.1875,-20.875,-19.1875,-0.09179688,1.19043,0.2148438,-67.75,-10.40625,-55.9375,156.8491,182.0539
251.1484,0.06640625,1.152344,0.06640625,-84.90625,-17.59375,-26.875,-0.09179688,1.19043,0.2148438,-67.75,-10.40625,-55.9375,156.8491,182.0539
251.1869,0.06640625,1.152344,0.06640625,-84.90625,-17.59375,-26.875,-0.09179688,1.19043,0.2148438,-67.75,-10.40625,-55.9375,150.8739,186.577
251.2188,-0.09082031,0.9501953,0.3701172,-80.9375,-10.4375,-20.34375,-0.05273438,0.9775391,0.3496094,-47.625,-3.96875,-39.75,150.8739,186.577
251.249,-0.09082031,0.9501953,0.3701172,-80.9375,-10.4375,-20.34375,-0.05273438,0.9775391,0.3496094,-47.625,-3.96875,-39.75,150.8739,186.577
251.2861,-0.05371094,0.8457031,0.3144531,-75.625,-24.125,-17.71875,-0.05273438,0.9775391,0.3496094,-47.625,-3.96875,-39.75,146.3476,177.3277
251.3207,-0.05371094,0.8457031,0.3144531,-75.625,-24.125,-17.71875,-0.0703125,0.8476563,0.3369141,-39.75,-3.25,-27.90625,141.8605,177.3277
251.3501,0.01367188,0.8349609,0.4873047,-66,-11.5,-15.15625,-0.0703125,0.8476563,0.3369141,-39.75,-3.25,-27.90625,141.8605,177.3277
251.3857,0.01367188,0.8349609,0.4873047,-66,-11.5,-15.15625,-0.0703125,0.8476563,0.3369141,-39.75,-3.25,-27.90625,138.76,175.445
251.4194,0.1269531,0.7285156,0.4423828,-54.46875,-19.84375,-7.21875,-0.08398438,0.9765625,0.5117188,-32.59375,-19.65625,-16.5625,138.76,173.1488
251.45,0.1269531,0.7285156,0.4423828,-54.46875,-19.84375,-7.21875,-0.1083984,0.7275391,0.1513672,-34.5,-0.9375,-12.03125,138.76,173.1488
251.4855,0.1640625,0.4833984,0.3095703,-25.21875,9.5,-4.78125,-0.1083984,0.7275391,0.1513672,-34.5,-0.9375,-12.03125,137.0428,173.1488
251.5187,-0.1220703,0.6152344,0.3408203,-11.6875,20.1875,0.28125,-0.1083984,0.7275391,0.1513672,-34.5,-0.9375,-12.03125,137.0428,169.1063
251.5513,-0.1220703,0.6152344,0.3408203,-11.6875,20.1875,0.28125,-0.06835938,0.5976563,0.03808594,-3.4375,-3.75,3.90625,137.0428,169.1063
251.6187,-0.1113281,0.8046875,0.1464844,15.25,-6.65625,6.9375,-0.06835938,0.5976563,0.03808594,-3.4375,-3.75,3.90625,138.0166,163.8184
251.6367,0.06835938,0.7099609,0.3535156,42.34375,13.78125,15,0.1181641,0.7626953,0.2470703,26.09375,2.90625,20.1875,138.0166,163.8184
