Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
322.7686,-0.05078125,1.027344,-0.2451172,1.09375,-2.09375,1.3125,-0.03222656,0.9277344,-0.1191406,0.46875,-0.9375,0.03125,183.9228,181.2314
322.8015,-0.05078125,1.027344,-0.2451172,1.09375,-2.09375,1.3125,0.2197266,1.054688,-0.2617188,-0.75,0,0.21875,183.4482,180.8128
322.8347,-0.06933594,0.9960938,-0.3642578,1.28125,0.90625,0.03125,0.2197266,1.054688,-0.2617188,-0.75,0,0.21875,183.4482,180.8128
322.8676,-0.06933594,0.9960938,-0.3642578,1.28125,0.90625,0.03125,0.2197266,1.054688,-0.2617188,-0.75,0,0.21875,183.3049,180.2427
322.9021,0.03125,1.095703,-0.3916016,0.40625,2.0625,0.40625,0.09179688,1.066406,-0.0390625,-1,1.5,-1.53125,183.3049,180.2427
322.9345,0.03125,1.095703,-0.3916016,0.40625,2.0625,0.40625,0.09179688,1.066406,-0.0390625,-1,1.5,-1.53125,183.9349,180.2427
322.9684,-0.09082031,0.9873047,-0.3710938,-0.1875,-1.0625,1.4375,0.07617188,0.9443359,-0.1259766,-1.34375,0.71875,-0.75,183.9349,180.4742
323.002,-0.09082031,0.9873047,-0.3710938,-0.1875,-1.0625,1.4375,0.07617188,0.9443359,-0.1259766,-1.34375,0.71875,-0.75,183.9349,180.6624
323.0354,-0.09082031,0.9873047,-0.3710938,-0.1875,-1.0625,1.4375,0.07617188,0.9443359,-0.1259766,-1.34375,0.71875,-0.75,184.2201,180.6624
323.0692,-0.1074219,0.9931641,-0.3300781,-0.1875,0.59375,-0.1875,0.1826172,0.9638672,-0.08398438,-1.125,-1.125,-0.25,184.2201,180.6624
323.1024,-0.07324219,0.9482422,-0.3017578,-2.09375,-1.40625,0.34375,0.1015625,1.000977,-0.04589844,-0.5625,0,0.21875,183.8157,180.505
323.1353,-0.07324219,0.9482422,-0.3017578,-2.09375,-1.40625,0.34375,0.1015625,1.000977,-0.04589844,-0.5625,0,0.21875,183.8157,180.505
