Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
215.5691,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.09082031,1.033203,-0.1660156,-0.25,1.09375,1.75,186.9731,185.7774
215.599,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.1611328,0.9658203,-0.2285156,0.03125,1.03125,0.53125,186.9731,185.7774
215.6301,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.1611328,0.9658203,-0.2285156,0.03125,1.03125,0.53125,186.9731,185.7774
215.666,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.1025391,1.029297,-0.1914063,-0.625,2.59375,0.59375,185.4681,185.821
215.7007,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.1025391,1.029297,-0.1914063,-0.625,2.59375,0.59375,185.7176,184.144
215.7305,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.1923828,1.026367,-0.1972656,-1.78125,0,0.03125,185.7176,184.144
215.768,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.1923828,1.026367,-0.1972656,-1.78125,0,0.03125,185.7176,184.5498
215.8006,-0.05957031,1.043945,-0.1972656,0.15625,-4.90625,-0.375,0.109375,1.024414,-0.1875,-0.4375,1.3125,-1.53125,185.7176,184.5498
215.831,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.109375,1.024414,-0.1875,-0.4375,1.3125,-1.53125,185.7176,184.5498
215.8667,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.109375,1.024414,-0.1875,-0.4375,1.3125,-1.53125,185.7176,184.5352
215.9007,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.09375,1,-0.1552734,-0.5,2.0625,-2.28125,185.7176,184.5352
215.932,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.08496094,1.030273,-0.2226563,-0.25,-2.03125,-1.53125,185.7176,184.5352
215.9677,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.08496094,1.030273,-0.2226563,-0.25,-2.03125,-1.53125,186.2607,184.3275
216.001,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.1376953,0.9658203,-0.1708984,-0.8125,-2.8125,-2.59375,186.2607,185.0869
216.0318,-0.01074219,0.9453125,-0.1894531,0.46875,3.78125,1.4375,0.1376953,0.9658203,-0.1708984,-0.8125,-2.8125,-2.59375,186.2607,185.0869
216.0893,-0.03808594,0.9521484,-0.1572266,-0.75,2.125,0.34375,0.1376953,0.9658203,-0.1708984,-0.8125,-2.8125,-2.59375,186.2607,185.1443
