Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
260.5495,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.015625,1.03418,-0.1816406,-4.09375,1.875,1.9375,198.8074,196.4752
260.5836,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.015625,1.03418,-0.1816406,-4.09375,1.875,1.9375,198.8074,196.4752
260.6166,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.015625,1.03418,-0.1816406,-4.09375,1.875,1.9375,198.8074,203.139
260.6502,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.0009765625,1.06543,-0.1699219,3.03125,2.375,2.4375,198.3051,203.139
260.6832,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.0009765625,1.06543,-0.1699219,3.03125,2.375,2.4375,198.3051,203.139
260.7167,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.0009765625,1.06543,-0.1699219,3.03125,2.375,2.4375,198.3051,202.6129
260.7513,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.02441406,1.075195,-0.2392578,5.78125,6.5,2.375,198.3051,202.6129
260.7847,0.08886719,1.087891,-0.07421875,0.15625,-1.90625,-10.875,0.04980469,1.048828,-0.2021484,2.3125,10.1875,4.125,198.3051,202.5492
260.8174,0.008789063,1.008789,-0.06738281,-1.78125,-6.25,-3.90625,0.04980469,1.048828,-0.2021484,2.3125,10.1875,4.125,198.3051,202.5492
260.8504,0.008789063,1.008789,-0.06738281,-1.78125,-6.25,-3.90625,0.04980469,1.048828,-0.2021484,2.3125,10.1875,4.125,198.3051,202.5492
260.884,0.008789063,1.008789,-0.06738281,-1.78125,-6.25,-3.90625,0.1044922,0.9716797,-0.2910156,0,12.375,7.0625,198.3051,203.3503
260.9178,0.008789063,1.008789,-0.06738281,-1.78125,-6.25,-3.90625,0.1044922,0.9716797,-0.2910156,0,12.375,7.0625,198.3051,203.3503
260.9509,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,0.1044922,0.9716797,-0.2910156,0,12.375,7.0625,198.3051,203.3503
260.9853,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,0.1542969,1.010742,-0.2558594,-5.9375,7.3125,10.46875,198.3051,204.0969
261.0188,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,0.2783203,1.064453,-0.1953125,5.78125,-6.84375,12.8125,193.7367,204.0969
261.0515,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,0.2783203,1.064453,-0.1953125,5.78125,-6.84375,12.8125,193.7367,199.6847
261.0883,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,-0.04589844,1.030273,-0.3027344,-3.3125,-1.1875,1.5625,193.7367,199.6847
261.1183,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,-0.04589844,1.030273,-0.3027344,-3.3125,-1.1875,1.5625,193.7367,200.7105
261.1519,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,-0.04589844,1.030273,-0.3027344,-3.3125,-1.1875,1.5625,193.0366,200.7105
261.1854,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,0.1591797,0.9833984,-0.2246094,-4.53125,-3.8125,-1.65625,193.0366,200.7459
261.2191,0.01464844,1.036133,0.02636719,-3.5,-4.09375,-1.84375,0.1591797,0.9833984,-0.2246094,-4.53125,-3.8125,-1.65625,193.0366,200.7459
261.2527,0.01269531,0.9677734,0.1123047,-1.34375,4.1875,3.15625,0.1591797,0.9833984,-0.2246094,-4.53125,-3.8125,-1.65625,192.9154,200.7459
261.2862,0.01269531,0.9677734,0.1123047,-1.34375,4.1875,3.15625,0.1591797,0.9833984,-0.2246094,-4.53125,-3.8125,-1.65625,192.9154,200.7459
261.3195,0.01269531,0.9677734,0.1123047,-1.34375,4.1875,3.15625,0.3447266,1.038086,-0.15625,9.25,4.8125,-6.96875,192.9154,201.0518
261.3529,-0.09765625,1.063477,-0.05957031,-1.78125,10.25,4.875,0.3447266,1.038086,-0.15625,9.25,4.8125,-6.96875,192.9154,200.8932
261.3864,-0.09765625,1.063477,-0.05957031,-1.78125,10.25,4.875,0.1279297,1.02832,-0.2265625,8.46875,0.28125,-11.84375,192.9154,200.8932
261.4205,-0.09765625,1.063477,-0.05957031,-1.78125,10.25,4.875,0.1279297,1.02832,-0.2265625,8.46875,0.28125,-11.84375,192.9154,200.8932
261.4535,-0.09765625,1.063477,-0.05957031,-1.78125,10.25,4.875,0.1201172,1.000977,-0.2060547,-9.0625,-9.46875,-5.6875,192.9154,199.8492
261.488,-0.09765625,1.063477,-0.05957031,-1.78125,10.25,4.875,0.1201172,1.000977,-0.2060547,-9.0625,-9.46875,-5.6875,192.9154,199.8492
261.5207,-0.09765625,1.063477,-0.05957031,-1.78125,10.25,4.875,0.1201172,1.000977,-0.2060547,-9.0625,-9.46875,-5.6875,192.9154,200.3577
261.5535,-0.01953125,1.203125,-0.0390625,5.96875,3.03125,8.84375,0.1201172,1.000977,-0.2060547,-9.0625,-9.46875,-5.6875,193.2416,200.3577
261.5879,-0.01953125,1.203125,-0.0390625,5.96875,3.03125,8.84375,0.1201172,1.000977,-0.2060547,-9.0625,-9.46875,-5.6875,193.2416,200.3577
261.6208,0.1533203,1.166016,-0.2597656,1.625,-4.40625,6.75,0.005859375,1.027344,-0.2099609,-2.6875,-10.625,-6,193.2416,200.3577
261.6545,0.1533203,1.166016,-0.2597656,1.625,-4.40625,6.75,0.005859375,1.027344,-0.2099609,-2.6875,-10.625,-6,193.2416,200.3044
261.6878,0.1533203,1.166016,-0.2597656,1.625,-4.40625,6.75,0.005859375,1.056641,-0.2441406,-1.96875,-11.3125,-4.21875,193.2416,200.5917
261.7211,0.1533203,1.166016,-0.2597656,1.625,-4.40625,6.75,0.005859375,1.056641,-0.2441406,-1.96875,-11.3125,-4.21875,193.2416,200.5917
261.7546,0.1533203,1.166016,-0.2597656,1.625,-4.40625,6.75,0.005859375,1.056641,-0.2441406,-1.96875,-11.3125,-4.21875,194.6227,200.5917
261.788,0.1533203,1.166016,-0.2597656,1.625,-4.40625,6.75,-0.02929688,1.018555,-0.1933594,-2.53125,-7.21875,-4.71875,194.6227,202.734
